user_id,event_name,event_timestamp,channel,device_type,country,experiment_variant,revenue
u_000001,landing_view,2025-01-08 16:44:00+00:00,referral,desktop,AU,,
u_000001,signup,2025-01-09 17:44:00+00:00,referral,desktop,AU,,
u_000001,experiment_exposure,2025-01-09 18:06:00+00:00,referral,desktop,AU,treatment,
u_000002,landing_view,2025-03-10 04:22:00+00:00,organic,desktop,US,,
u_000003,landing_view,2025-03-25 02:12:00+00:00,referral,desktop,US,,
u_000003,signup,2025-03-26 05:12:00+00:00,referral,desktop,US,,
u_000003,experiment_exposure,2025-03-26 05:37:00+00:00,referral,desktop,US,treatment,
u_000003,activation,2025-03-26 09:12:00+00:00,referral,desktop,US,treatment,
u_000003,login,2025-03-28 22:12:00+00:00,referral,desktop,US,treatment,
u_000003,login,2025-04-01 02:12:00+00:00,referral,desktop,US,treatment,
u_000003,login,2025-04-10 20:12:00+00:00,referral,desktop,US,treatment,
u_000003,login,2025-04-18 17:12:00+00:00,referral,desktop,US,treatment,
u_000004,landing_view,2025-03-03 01:49:00+00:00,email,desktop,US,,
u_000004,signup,2025-03-04 00:49:00+00:00,email,desktop,US,,
u_000004,experiment_exposure,2025-03-04 00:53:00+00:00,email,desktop,US,control,
u_000004,activation,2025-03-04 08:49:00+00:00,email,desktop,US,control,
u_000004,login,2025-03-12 02:49:00+00:00,email,desktop,US,control,
u_000004,login,2025-03-17 05:49:00+00:00,email,desktop,US,control,
u_000004,login,2025-03-29 18:49:00+00:00,email,desktop,US,control,
u_000004,login,2025-03-30 04:49:00+00:00,email,desktop,US,control,
u_000005,landing_view,2025-01-26 19:07:00+00:00,organic,desktop,US,,
u_000006,landing_view,2025-03-12 12:08:00+00:00,paid_social,mobile,GB,,
u_000006,signup,2025-03-13 15:08:00+00:00,paid_social,mobile,GB,,
u_000006,experiment_exposure,2025-03-13 15:12:00+00:00,paid_social,mobile,GB,control,
u_000007,landing_view,2025-02-21 15:13:00+00:00,paid_search,mobile,CA,,
u_000008,landing_view,2025-02-01 10:28:00+00:00,paid_social,desktop,US,,
u_000008,signup,2025-02-01 23:28:00+00:00,paid_social,desktop,US,,
u_000008,experiment_exposure,2025-02-01 23:57:00+00:00,paid_social,desktop,US,control,
u_000008,activation,2025-02-02 20:28:00+00:00,paid_social,desktop,US,control,
u_000009,landing_view,2025-02-15 18:48:00+00:00,organic,mobile,GB,,
u_000010,landing_view,2025-01-31 00:32:00+00:00,paid_search,mobile,US,,
u_000010,signup,2025-02-01 13:32:00+00:00,paid_search,mobile,US,,
u_000010,experiment_exposure,2025-02-01 13:53:00+00:00,paid_search,mobile,US,treatment,
u_000010,activation,2025-02-02 01:32:00+00:00,paid_search,mobile,US,treatment,
u_000010,login,2025-02-17 17:32:00+00:00,paid_search,mobile,US,treatment,
u_000011,landing_view,2025-02-24 08:41:00+00:00,paid_search,desktop,DE,,
u_000011,signup,2025-02-25 01:41:00+00:00,paid_search,desktop,DE,,
u_000011,experiment_exposure,2025-02-25 01:51:00+00:00,paid_search,desktop,DE,control,
u_000012,landing_view,2025-03-28 06:19:00+00:00,paid_social,desktop,OTHER,,
u_000013,landing_view,2025-03-12 10:43:00+00:00,paid_search,desktop,US,,
u_000013,signup,2025-03-14 05:43:00+00:00,paid_search,desktop,US,,
u_000013,experiment_exposure,2025-03-14 05:49:00+00:00,paid_search,desktop,US,treatment,
u_000013,activation,2025-03-15 01:43:00+00:00,paid_search,desktop,US,treatment,
u_000013,login,2025-03-28 08:43:00+00:00,paid_search,desktop,US,treatment,
u_000013,login,2025-04-02 16:43:00+00:00,paid_search,desktop,US,treatment,
u_000013,login,2025-04-03 04:43:00+00:00,paid_search,desktop,US,treatment,
u_000014,landing_view,2025-02-22 04:18:00+00:00,organic,desktop,US,,
u_000014,signup,2025-02-23 04:18:00+00:00,organic,desktop,US,,
